locality,country,stateprovince,county,latitude,longitude,correction status,precision,error polygon,multiple results,uuid
southwestern part of prov,brazil,mato grosso,,,,,,,,eda1f027-f748-41a8-8b9b-d045ae15007e
kuitaro river,guyana,,,,,,,,,4b967ce8-495e-4925-a124-5e5cea46a23c
madrejon,paraguay,,,,,,,,,aa53919b-e224-4a4f-ad2f-9d00b8c1cbd8
mayapan,mexico,yucatan,,,,,,,,e95d9e0a-2dfe-48d8-80ee-edd668e5c667
southwestern part of prov,brazil,mato grosso,,,,,,,,88b012f9-368d-42b0-aead-17b5f67084df
southwestern part of prov,brazil,mato grosso,,,,,,,,14d3949f-8949-4dcf-ab9c-c810f9ea28e1
"puerto pinasco, 170 km w rancho salada",paraguay,,,,,,,,,f74e2104-f8d4-4e68-a1f8-5f3557a79bfa
"rio tapajos, tauary",brazil,,,,,,,,,79afcd4a-45a6-405e-b575-3f160d76ed42
rupununi district,guyana,,,,,,,,,d3a96c94-8a45-4c47-96fb-48172fac3887
estancia primera,paraguay,,,,,,,,,dd67afcc-8763-452b-b9af-f6bae081d8c0
coto,costa rica,,,,,,,,,9a99772d-e3bd-4ad6-92dd-cbdb86e9ab13
rio guaimaral,colombia,cesar,valledupar district,,,,,,,7a1b1535-3e61-449c-894b-5a38257dd9eb
southwestern part of prov,brazil,mato grosso,,,,,,,,96e6264a-6e4c-42c3-a065-ee6e9157be0d
rio guaimaral,colombia,cesar,valledupar district,,,,,,,ab548aa6-82fa-40b4-ba64-00029f8eb8d2
"prinzapolka village, mouth of prinzapolka river",nicaragua,,,,,,,,,8dd564a7-389c-44a0-b9b9-d68a8688dfa0
kuitaro river,guyana,,,,,,,,,0526f0f1-9816-4305-b420-2072ae0f015a
"bluefields, very near",nicaragua,,,,,,,,,ae39ee62-14dd-4ea4-b927-57b70bbb95b4
"lake peten, about 25 mi w, near laguna",guatemala,peten,,,,,,,,80fbd7ea-e811-407d-ae56-f33be73772d1
"sao paulo, region of",brazil,,,,,,,,,7edca0f3-7a50-443f-ac0a-816958d235d8
tehuantepec,mexico,oaxaca,,,,,,,,9395ffd5-e477-4de2-a2d2-a223f9d59208
juan de zalazar,paraguay,boquerón,,,,,,,,62f53982-0b70-41ae-b377-3535a55f777e
tehuantepec,mexico,oaxaca,,,,,,,,a7be6718-155a-422a-a464-9c061ce986b0
tehuantepec,mexico,oaxaca,,,,,,,,2d8241c9-3759-43d0-9684-1ca87d672457
seattle; woodland park zoo,united states,washington,king county,,,,,,,838dcaf5-8874-4de4-8542-4314e8f4f5d8
544 km. trans chaco,paraguay,boquerón,,,,,,,,5abb34fe-1ff1-47d3-8c88-16b5697f2ac0
rio peluca,panama,,,,,,,,,49fc7315-a4b4-42cb-b6c2-f55171fce5e3
libertad region,guatemala,peten,,,,,,,,0838751a-0370-45a3-be6e-90faa6181fc7
"colima, near",mexico,colima,,,,,,,,c6bcdc8f-7f58-4fb6-af37-516fdf77ac03
talamanca,costa rica,limon,,,,,,,,fb0115ed-1cd3-480e-8cfd-48e578ff8888
upper doce rio,brazil,minas gerais,,,,,,,,f29ed80f-4317-4a08-8162-d7e3c0e67e26
iquitos,peru,loreto,maynas,,,,,,,cc8f1799-6d16-4010-8fda-5f2b55ad129b
statione laguna el sotz,guatemala,peten,,,,,,,,a2caae4d-a7c1-4d84-b2f8-e1683645d876
tocantin river valley,brazil,para,,,,,,,,6cf9b60f-a15b-4572-b552-68e2f9906520
maripa,venezuela,bolivar,sucre,,,,,,,3ac7211c-c956-4616-8efd-6a3653eec82b
"chapolapa, 1000 ft",mexico,guerrero,,,,,,,,aaa62cdf-1dee-43c5-abee-6c7cc2326149
"acapulco, kasaan bay, near",mexico,guerrero,,,,,,,,f6877492-b399-4983-aa51-8103453dcc61
libertad,guatemala,peten,,,,,,,,ce035a61-70ef-4d6b-80f1-db1652bdea26
teniente ochoa,paraguay,boquerón,,,,,,,,3de351ae-54ac-4b14-a677-df3c764a2326
rio doce,brazil,minas gerais,,,,,,,,1b1927d4-0ca0-4d67-9bc2-d47adb1417a3
"rio doce, n of",brazil,espirito santo,,,,,,,,21f306a6-aa55-48ef-834b-52d2760cf7b7
libertad region,guatemala,peten,,,,,,,,43092bc2-aa6f-4731-9464-19fd2b11cfed
tocantin river valley,brazil,para,,,,,,,,4a1b66d7-cfab-4929-beb5-b9b911b32e7e
libertad region,guatemala,peten,,,,,,,,f09f6409-8b73-400e-8c0b-43ee8b4a7ba6
dadanawa ranch,guyana,upper takutu-upper essequibo,,,,,,,,41d45389-56bc-46f7-b689-c67bb77dd5ee
upper ucayali river,peru,loreto,,,,,,,,6ebe3fe4-ce70-4b25-9fda-39a058d6d738
km 544 trans-chaco,paraguay,boquerón,,,,,,,,0459868d-bec1-43b5-9a40-28e74b3695f3
km 674 trans-chaco,paraguay,boquerón,,,,,,,,fc96d88f-1346-40d7-903e-f77a7505a717
caura valley,venezuela,,,,,,,,,f00d001e-a870-4938-807f-50bbce15cac4
"guaduas, near",colombia,,,,,,,,,d22c655a-daf5-4fd6-8070-95969d74e246
8 km s. of km 586; copagro,paraguay,boquerón,,,,,,,,fe6c2423-7b73-4729-87cd-2c7a028933be
pozo hzul,costa rica,,,,,,,,,5398fa2f-20de-4d2e-a259-7601b361a1be
rupununi district,guyana,,,,,,,,,eaf48c50-045c-4697-afdb-15ac8b880e94
near bahia,brazil,,,,,,,,,ab4cf5b5-361a-4688-8ddb-a92ac0d0ce36
upper ucayali river,peru,loreto,,,,,,,,d0bca119-8956-42af-b42e-0c0ce37c3e0c
3 km n of km 544,paraguay,boquerón,,,,,,,,f0ecbb93-1e96-4a20-9b3e-d4893390b4a2
lower ucayali river,peru,ucayali,,,,,,,,f8d0ffbb-8dbf-4288-8114-3336a7b60886
lower ucayali river,peru,ucayali,,,,,,,,1f833417-d9f4-42eb-a812-f3a92cb18257
southwestern part of prov,brazil,mato grosso,,,,,,,,6f2c3bba-0ef5-406b-a987-adbc2c4f15a4
tarija valley,bolivia,tarija,,,,,,,,dcc61009-55da-4ce1-a495-e0c2bab56dbb
upper ucayali river,peru,loreto,,,,,,,,dd8c108f-a3e1-4984-9f16-8ae2df8cc594
southwestern part of prov,brazil,mato grosso,,,,,,,,b9b8a47c-ee5d-4c03-9987-e0c676988351
dibulla,colombia,,,,,,,,,5839d705-317f-4e64-a1e8-e15ee0f3beff
upper ucayali river,peru,loreto,,,,,,,,353b838b-2d55-457b-9544-422c3f088853
amazon river,brazil,,,,,,,,,0e910e76-7e96-47fb-bc61-9c35b82ecb5e
"vera cruz, orizaba",mexico,,,,,,,,,cdd37305-8f64-450c-a558-ea653feb543f
"san luis de caceres, 100 mi s",brazil,,,,,,,,,a6862556-1baf-4de0-87b0-89dc13320b99
canal zone,panama,,,,,,,,,e56c97e5-12de-4210-a9b3-272d18a77b34
jaguar lake,bolivia ?,,,,,,,,,5ef755ce-367e-4463-ab01-99eec33dc831
rio grande do belmonte,brazil,minas gerais,,,,,,,,db695597-32f5-42a3-8c40-e38132025659
rio grande do belmonte,brazil,minas gerais,,,,,,,,68299dd5-7f0c-4731-bbd3-ac81ec02731d
nera assuncion (?),paraguay,,,,,,,,,49458a3a-689f-485c-a491-19b200b86ee9
gran chaco,paraguay,boquerón,,,,,,,,7162eb93-5b16-41d2-bbd6-031c14a15e7b
"sinaloa, sierra madre mountains",panama,,,,,,,,,e27db108-9f92-4668-a03c-b62bbf62d5bc
rio grande do belmonte,brazil,minas gerais,,,,,,,,1f83565c-07a1-407e-9bf7-bc1ba4c98eb5
reserva de sooretama.,brasil,espírito santo,,,,,,,,ff0bd6e8-0914-4646-8b89-94e9d3860483
"nicaragua, buena ventura",nicaragua,,,,,,,,,3f9c7242-24da-405f-9b46-284b5d3586f5
"sydamerika, montevideo",uruguay,,,,,,,,,02879117-d4ac-4472-a3dc-d7f9ba3dcec3
"sydamerika, montevideo",uruguay,,,,,,,,,944a3bdc-2828-4ce2-bb28-b01ab471e247
rio de janeiro,brazil,,,,,,,,,b2dbb597-3c8c-4f57-b7e8-9155cb7ced3f
pearl lagoon,nicaragua,,,,,,,,,198c4741-8557-4aec-b5ef-c58ca6e058ea
montévidéo (cap de l'uruguay),brésil,,,,,,,,,be8ae081-ab68-4440-a68a-d25ce15fff83
e. of sacupana,venezuela,,,,,,,,,e6cc9cff-9282-46ff-a9f4-a2a407d733f8
brasil,brazil,,,,,,,,,9f7de76a-9552-444d-bf31-e3e77202c733
cacao,guyane française,,,,,,,,,ed1a569b-dc24-410a-83d7-4065ec98be6a
"trois-sauts, sur l'oyapock",guyane française,,,,,,,,,d601ab1a-ddf4-4388-aa1d-229e8e136564
"omgeving berg en dal, weg naar affobakka",suriname,,,,,,,,,9ad377d9-311e-461e-b408-100f67ca8818
