"uuid","genus","specificepithet","longitude","latitude","elevation","temperature","precipitation","landcover"
"ec52bd94-2ff4-4edf-8b91-be5a22b25377","leopardus","pardalis","-57.906755","-15.037601","244","255","1807","12"
"dc24dee4-c150-41dd-a5c3-f14f86324efe","felis","pardalis","-78.559764","0.681953","968","210","1697","10"
"1f930653-7cac-4881-8c25-dd7c33986604","felis","pardalis","-79.617","0.95","33","249","1060","12"
"751a3fcf-3eed-4515-8697-e50fbcc002de","felis","pardalis","-76.989","0.084","322","248","2939","2"
"d318a992-7188-4f3e-a719-181454a3a094","leopardus","pardalis","-75.9833298","-9.3000002","835","230","3357","2"
"76b054b1-f73e-40f6-8aea-a287e598d145","leopardus","pardalis","-75.5333328","-10.0666666","1003","219","1608","8"
"789c255f-aa34-4ec8-b7ed-d8c74102f268","felis","pardalis","-79.55","0.633","54","247","1142","14"
"d8c18db6-6211-443c-8eec-16a9ba1d13d2","leopardus","pardalis","-73.322493","-3.716065","98","251","2904","2"
"ed5cccf2-dfd8-41e5-a067-df1271273e23","leopardus","pardalis","-73.303781","-3.721375","93","251","2887","2"
"5fe5c782-9b1b-4e56-ad5d-371b24e25860","leopardus","pardalis","-73.326956","-3.734051","99","251","2925","2"
"3de7d297-0779-4001-b019-eda5d9f88f5c","felis","pardalis","-78.973811","0.71388","89","252","1696","8"
"5d8c225e-d24a-418b-a088-07a37a77a0e6","felis","pardalis","-78.883","0.95","76","252","2183","12"
"23b03c83-d69f-4ef1-a2f2-c9ae6a267f82","leopardus","pardalis","-88.2833","18.5","3","261","1332","13"
"35aea9fd-ca3e-468f-9254-6f55dcbed3f3","felis","pardalis","-103.824267","19.456577","651","236","630","8"
"0ee0d86a-29c2-4cc0-8f19-63cedacb0bff","felis","pardalis","-78.967909","0.668884","170","248","2186","14"
"bbbfee06-eb28-45b9-9ad4-1935105102c0","leopardus","pardalis","-90.118585","18.450279","168","253","1082","2"
"0dcc515e-5b43-4917-a38b-cec39ed78bfe","felis","pardalis","-79.127983","0.428741","221","244","2612","14"
"5df315c1-9c47-4cad-b61f-5ad55566cb23","felis","pardalis","-79.966667","-1.8","3","247","1319","8"
"a93099b7-83f6-4143-a3f8-dfe0a2839aa1","leopardus","pardalis","-57.79631","-17.190057","98","261","1119","9"
"90bab1d8-89c7-4ad9-a243-214a76807df3","felis","pardalis","-79.179567","0.840359","128","246","1578","2"
"8223d969-cfda-457e-9811-10651fb6899f","felis","pardalis","-79.416667","0.916667","76","247","1090","2"
"232ad177-a09f-4b4c-9f55-453fba72e20a","felis","pardalis","-78.718091","0.88972","322","241","2995","14"
"b701bc9e-fd2f-431f-b2f2-8c20e08267dc","leopardus","pardalis","-73.625177","9.901531","56","273","1404","14"
"03e2c530-3034-4972-a9e9-3e2439e25438","felis","pardalis","-78.8","0.867","145","250","2334","17"
"cd2b6555-55f8-4a5d-a420-42c8aa2677a3","leopardus","pardalis","-77.3333359","-4","197","246","3047","2"
"c7439db0-e4df-40fd-9e19-daa7085685d1","felis","pardalis","-80.1","-0.683","19","245","959","8"
"9245cf32-9576-4eb7-b5b3-5a278f1e1392","leopardus","pardalis","-59.7","4.7166667","691","227","1879","2"
"e9e0daf6-2e57-4481-a2a9-8752ac8a6b2c","leopardus","pardalis","-77.2833","-0.5","328","248","2728","2"
"f08817a4-19df-430c-8dfd-94a95062af74","felis","pardalis","-79.884251","0.470246","107","243","1311","8"
"364b8e8c-d773-4e18-9823-a1941fce4207","felis","pardalis","-79.106196","0.482605","187","246","2033","8"
"eb60b953-1595-4830-9c48-5908fd668123","felis","pardalis","-78.661936","0.688759","584","229","2088","10"
"62ac52fc-94fd-4769-956c-a5c524aa88c9","felis","pardalis","-78.578509","1.112194","236","246","3504","8"
"d27c035f-b495-4a17-ab83-429298dc7b5d","felis","pardalis","-79.157265","0.549206","252","241","2060","14"
"eefc46f0-78ba-4afc-945b-0649b4848451","felis","pardalis","-79.148596","0.829165","94","249","1714","2"
"cd96e559-4e39-41a2-9aa3-340fcc32cad3","felis","pardalis","-108.7","26.9666667","564","214","829","5"
"5a953c1f-214a-406b-bcd0-525a10f38494","leopardus","pardalis","-39.6333351","-10.9666662","275","254","530","6"
"d630a857-5c20-447d-9ad4-4c4a69164660","felis","pardalis","-80.45","-1.05","42","238","480","13"
"248f761f-40cd-4769-9e55-7f581262ea43","felis","pardalis","-79","0.09048","714","222","2823","10"
"8d8a7cf5-5c91-4ba0-bf2f-b04c1a4738e0","leopardus","pardalis","-56.4500008","3.1166666","248","252","1689","2"
"c33ab56c-aa46-4e7c-907e-0d38324280d7","leopardus","pardalis","-75.68333333","8.283333333","69","262","1729","14"
"2a563b73-4f94-4f19-be0c-d213995854ac","felis","pardalis","-78.95","-0.317","926","214","1930","16"
"9d065c73-6a20-42ae-844b-ca21e56a3cfb","leopardus","pardalis","-73.396999","10.149519","82","271","1475","14"
"e5fe2fbe-6956-4b78-b7ad-2bbf328a400c","felis","pardalis","-80.067","-0.117","99","241","880","8"
"c90f6f70-5f8c-4cb8-944c-c4daf55906d8","felis","pardalis","-79.56108","0.04977","152","243","2448","2"
"202dcde2-807d-4f6b-b839-231076317390","felis","pardalis","-79.129155","0.447501","182","246","2382","8"
"c2019de4-d3a0-4f68-ac61-27dea6907562","leopardus","pardalis","-70.8333359","-12.25","313","251","2263","2"
"793485b2-9af5-4912-9b6e-305a5ef66a3c","leopardus","pardalis","-65.3","9.95","39","278","798","8"
"9b27376f-5a0f-480e-9b82-3379174391aa","leopardus","pardalis","-67.22","6.55","43","268","2244","9"
"ce0bf28b-c667-4b9a-854d-db1c3e743228","leopardus","pardalis","-48.1500015","-14.5500002","512","253","1430","12"
"ce3619f1-38ad-46af-939c-5b0b2e62d1a1","leopardus","pardalis","-88.2649307","20.6012478","26","256","1157","12"
"4cdb3dac-f603-4504-9524-ba4949665b03","leopardus","pardalis","-98.380878","17.199688","2106","161","1962","12"
"20248ba3-4c09-489a-bc78-836fb3748f2c","felis","pardalis","-78.797163","-5.338781","453","252","731","8"
"322c362e-841c-4e5e-92be-9c289b9cfd85","leopardus","pardalis","-39.885287","-19.440878","17","249","1262","2"
"6285ae0f-4515-4060-921b-808b693dbc02","leopardus","pardalis","-82.541204","9.374896","34","261","2477","14"
"060ab681-d109-4441-9146-335bd2b963de","leopardus","pardalis","-79.066667","9.45","14","271","2435","12"
"ce4741c5-f6d9-425b-b729-a74320dac862","felis","pardalis","-60.025278","-3.113333","30","266","2184","6"
"44add850-4dc0-4e1d-bbde-0488c115930d","leopardus","pardalis","-97.943647","33.820378","274","182","774","8"
"a46239dc-0458-4d89-a5fa-a3d3321ab06b","leopardus","pardalis","-95.643529","29.354047","20","209","1176","12"
"02395b3b-aab6-48b9-a85c-ca5a7640a9db","leopardus","pardalis","-82.433333","9.233333","127","255","2448","2"
"8a270572-8f46-4be5-9223-8fcf9a96db1d","leopardus","pardalis","-60","-23","132","243","894","8"
"88340925-7871-48a4-a743-b25e0baa1f10","leopardus","pardalis","-101.816667","18","83","270","931","8"
"9bb05e87-458d-45a8-a5ff-e087218e0e96","leopardus","pardalis","-80.133333","8.75","455","238","2857","2"
"0152c175-7bad-4bc9-82d9-c5bebcf35e6f","leopardus","pardalis","-109.259601","27.224631","80","241","452","4"
"7ce5be76-4b3e-4e47-a104-cdf6d9cb8150","leopardus","pardalis","-75.216667","-9.866667","271","258","1920","2"
"cf008f73-5931-4505-a04b-d13c3fb56b96","leopardus","pardalis","-65.77","3.65","1447","179","3657","14"
"c0300186-5b14-4229-903e-df0634c03a9b","felis","pardalis","-79.1","-0.267","605","228","2766","16"
"a7a603aa-5904-40ba-abc3-994868b1af17","leopardus","pardalis","-62.7","-19.77","491","235","751","8"
"26d79100-96f7-4f26-ad3e-b6562043e735","leopardus","pardalis","-95.1324997","17.7358341","50","256","1779","14"
"d0f144fc-ef97-48b6-8238-e2a09f2df485","felis","pardalis","-97.1002655","18.8506857","1239","200","1437","7"
"0aa03af5-fbf6-4792-a7c9-0ebdc978ded8","leopardus","pardalis","-76.4166641","-0.2333333","255","243","3984","2"
"5fc78c97-1665-4a65-ba1e-6d6d54812f69","leopardus","pardalis","-96.303375","19.067513","32","258","1230","9"
"f669682d-b937-4f78-bfd9-079faf5cda1c","leopardus","pardalis","-104.310375","19.052714","9","268","986","17"
"10fafb4f-820c-4dc5-ba37-eedeb0dab7dd","leopardus","pardalis","-98.205158","23.769874","21","245","732","14"
"427b3175-e119-48bc-a726-e08ec253cbac","leopardus","pardalis","-42.9","-20.25","372","237","1114","8"
"4752ff0d-fc96-49f6-a917-cc8702ea418f","leopardus","pardalis","-73.207374","8.402096","1759","173","2036","14"
"defcc50b-d19e-4bc9-a1cd-09cb6b042614","leopardus","pardalis","-90.527701","19.838032","6","266","1097","13"
"859b5e10-1a63-4a9c-b679-ca098655ed5f","leopardus","pardalis","-59.3","-23.1","115","242","1036","8"
"3201bbd3-24bc-48ac-8e70-ff16449bd6b1","leopardus","pardalis","-95.731195","29.169077","17","211","1191","12"
"bc5872a1-446e-434e-a895-8a97e7bd7f4d","leopardus","pardalis","-103.964698","18.934268","25","268","859","8"
"6906eb0f-8cb3-456c-92f1-01ecf1657d42","leopardus","pardalis","-72.63","9.2","35","273","2342","2"
"3de4e561-3c7a-4de7-9db3-e93022515662","leopardus","pardalis","-66.61667","6.29167","329","253","2486","2"
"da353919-01f9-44a7-bcf6-b61b783e3818","leopardus","pardalis","-68.63","11.18","327","250","1303","2"
"a7823ad6-ad66-4593-993e-66b4a7084494","leopardus","pardalis","-71.6166687","10.666667","40","282","707","13"
"07f2dccd-8e91-4db5-b650-1441e7cb3939","leopardus","pardalis","-90.2431","16.04223","262","242","3159","2"
