"uuid","genus","specificepithet","longitude","latitude","elevation","temperature","precipitation","landcover","cluster"
"3860389f-d5a2-48e9-a52d-37b286a8ff3b","puma","concolor",-104.211826,30.644952,2047,128,432,8,6
"386d4949-8b2d-4419-9033-9ba1234bd4e6","puma","concolor",-69.511088,-19.924347,1428,176,21,16,6
"388c2e48-00e8-427b-8d89-7f44733bb9d8","puma","concolor",-111.7419,35.2672,2242,96,450,1,5
"388eddcf-1239-46ba-8fbf-02827dfefe40","lynx","canadensis",-91.0166667,49.65,459,19,757,1,1
"38bd4937-707f-4c12-906d-6fc746c40d7f","puma","concolor",-121.991502543478,47.2042637159679,228,108,1392,13,6
"38c1f820-e3d7-4356-adaf-4dd0d703e498","lynx","canadensis",-141.2144,63.5723,626,-30,240,7,1
"38e9ef34-e1d7-4f78-b9d0-8d0e42cbfcb3","lynx","canadensis",-89.28134,48.57839,437,21,680,1,1
"38fd6ffc-f12c-4e91-9295-2ff5d46b6a60","lynx","canadensis",-144.466666667,61.4666666667,419,7,441,7,1
"3917f6a3-6302-4d6f-952d-3cbbae54f020","puma","concolor",-122.122,46.7578,435,97,1438,1,1
"391b681a-96ee-43f5-b35a-d7dee511d3c8","puma","concolor",-107.7161509,34.34135796,2280,103,271,8,6
"392e29dd-f145-455c-b266-63323d973e37","lynx","canadensis",-160.2,62.683333,17,-8,417,7,1
"39316627-f7d1-412a-8c0f-c7daf36b0716","puma","concolor",-120.475,35.0427778,101,165,382,6,4
"39328246-f501-43cc-8e97-27e813932492","puma","concolor",-81.795921,26.230643,11,235,1341,12,4
"3932a039-95c5-497a-bfdf-b6b1f20d8885","lynx","canadensis",-124.275556,48.582222,42,109,1906,1,2
"39566461-2be2-46b2-829f-b39ab7313aa3","puma","concolor",-81.34547,26.35931,13,232,1317,10,2
"396d1c7b-4274-4d18-8be9-b0b990d50e99","puma","concolor",-99.107677,28.040896,120,229,510,10,4
"398e9c35-c65d-46fc-84e9-ee960da94b29","lynx","canadensis",-119.8293,48.8504,1562,32,354,1,5
"3999a769-10b5-47ca-b057-2abff0b48a56","puma","concolor",-81.302025,26.4038,19,231,1339,1,2
"3999edef-aab6-40e6-bc7a-379ced4fa972","puma","concolor",-81.6398346,26.50989,12,232,1307,14,4
"399d2e3e-cc99-4c5a-8161-ca68314abfb4","lynx","canadensis",-97.783333,54.616667,209,-7,452,5,1
"39a35444-2f97-4422-8254-0ade02030347","puma","concolor",-105.362877,39.633057,2325,53,423,8,6
"39a7cb3e-177d-4953-97be-9f1909d04663","lynx","canadensis",-145.13,64.05,328,-9,384,5,1
"39b2e214-2384-4c1e-a566-4b99d3221dcf","puma","concolor",-114.55694,39.27667,3137,24,332,10,5
"39d3bbd9-087d-4586-9a26-e421bd3fbfbb","puma","concolor",-107.576705592268,33.769227954953,2338,102,418,8,6
"39e2676b-f96e-4da9-8b45-ee330056c3e8","puma","concolor",-108.0461673,32.8803531,2062,126,380,1,5
"39f7a18f-ad6e-4a82-8371-1d40d616488a","puma","concolor",-122.0444,47.1056,271,106,1234,1,1
"39fbfeaa-1b37-4647-a375-40f121330acb","puma","concolor",-112.877406,34.962925,1983,118,463,1,5
"39fd11c4-5a56-48e2-89f3-454a83c218c1","lynx","canadensis",-146.5,64.3333333333,543,-22,437,1,1
"3a09e118-ab24-4cb0-82b1-0174b8838313","lynx","canadensis",-120.9167,53.1833,1138,27,674,1,1
"3a20b1f4-c5f2-4f61-b8ea-9aba66ff58f7","lynx","canadensis",-148.13,64.59,136,-7,344,1,1
"3a286f6c-4a63-46d9-aec9-827dfaed6cc9","puma","concolor",-123.552371,48.10481,69,110,929,1,1
"3a2e43d3-e25c-473d-8c18-510e4eda089f","puma","concolor",-107.4043769,34.02822225,2139,114,327,10,6
"3a47f789-20f1-422c-bc48-a53a0fae8656","puma","concolor",-112.358505,43.889692,1457,84,233,1,1
"3a4c8daf-2b29-43a4-ae20-f9cdfa48174d","lynx","canadensis",-143.951111,63.66,437,-17,315,7,1
"3a5b6c52-5098-4863-b88e-56317f0ed4a5","lynx","canadensis",-150.198808292486,60.453182911302,82,37,507,5,1
"3a5cfb0a-42ad-4fcf-bafc-7b33a1f2dc61","lynx","canadensis",-87.9692633655682,49.6221321583649,337,15,739,1,1
"3a680361-c2bb-4913-8451-c8f47eac3441","puma","concolor",-115.43503,38.026895,1578,133,197,7,6
"3a730adb-7db2-4132-8cc6-4f4bf8458b81","lynx","canadensis",-145.8791666667,63.5833333333,602,-18,502,7,1
"3a7e865c-9a11-4694-a2eb-836c43ec1262","leopardus","pardalis",-86.668605,13.311901,1117,217,1236,12,4
"3a84970a-74d6-4b18-b1a7-6f47351b6eea","puma","concolor",-115.662897,45.018514,1913,44,833,1,5
"3a98f959-c214-434a-ba77-1590096da1f5","puma","concolor",-111.667593,33.563688,427,230,262,7,4
"3a9f2418-6dfd-4f4d-b6cb-edf2755550f3","puma","concolor",-124.059794,41.28679,14,138,1373,1,1
"3aa4bb20-1a43-406e-9a82-2b16389e6939","puma","concolor",-106.0207569,36.62619108,2680,55,485,8,6
"3ab65159-7b2e-4545-9514-5c3a7b31fc50","puma","concolor",-104.7124329,32.0106239,1490,156,368,8,6
"3ac7211c-c956-4616-8efd-6a3653eec82b","panthera","onca",-63.729187,10.026597,558,235,1315,2,2
"3ae7c273-a278-4743-90e0-98d4a44e7b01","puma","concolor",-81.34234,26.267739,12,233,1342,14,4
"3afb6333-ef86-4331-8844-e4f9cd751492","leopardus","pardalis",-78.579444,8.670556,8,266,2473,2,3
"3b247269-17cb-4a0b-8042-47a82731dad3","puma","concolor",-104.786597,32.088378,1995,124,394,8,6
"3b42444a-cf4e-4951-aa93-8f571c94c1cd","lynx","canadensis",-150.564167,68.748889,403,-90,203,7,1
"3b448d8e-5a34-4050-9ca1-94f38a651533","lynx","canadensis",-144.563747,62.607572,601,-11,373,5,1
"3b49800b-0245-4887-b059-7c0e3409ae43","lynx","canadensis",-148.4333333333,64.9666666667,716,-46,436,5,1
"3b5cff2d-8118-43f6-bf2e-9fb4e1f27ef5","puma","concolor",-99.087251,27.158171,152,232,492,10,4
"3b60a8d6-22fa-4929-a675-464336d2de69","panthera","onca",-87.50083,12.91083,21,285,2037,5,2
"3b74b05a-5b7c-4504-9bd7-aedb18b15c77","lynx","canadensis",-84.3666667,49.9,200,16,836,5,1
"3b78cdd5-ea97-4434-875b-85dc289761bf","lynx","canadensis",-123.066667,49.316667,52,108,2017,13,4
"3b8d6f09-dda8-462b-8262-6c2c9f5b99da","lynx","canadensis",-116.483333,55.433333,593,31,490,14,6
"3ba3aeba-3f20-4172-9a04-88cd4429766e","puma","concolor",-57.751842,-16.734548,107,260,1162,17,4
"3ba6be9c-1700-43c2-944c-ef986fbf2fb8","puma","concolor",-120.110519,35.090513,539,150,340,9,4
"3baf653b-0682-4868-b618-f2ff33557866","puma","concolor",-81.341743,26.26925,12,233,1335,14,4
"3be85287-d670-4540-b350-67912c064ee1","leopardus","pardalis",-69.93,12,87,270,388,7,4
"3bf9fa8c-e57b-4c4f-b06c-49c40a84e74b","leopardus","pardalis",-91.533333,14.35,57,273,2937,1,3
"3c148fd4-76be-4e6d-9f48-d2b7ef179cd9","puma","concolor",-81.68084,26.049812,5,236,1330,10,2
"3c1d8f7c-c625-49e1-80cb-f1b4e73956b5","puma","concolor",-107.2987208,36.66342036,2287,82,430,8,6
"3c23696f-803a-4866-a00a-433f90bbfc81","lynx","canadensis",-97.6920647629508,48.3666925106011,290,44,465,12,6
"3c46e3f8-b1c3-4974-bc5f-2ff92fcccd28","puma","concolor",-110.900703,37.179716,1130,161,129,7,1
"3c4d2cb5-7c94-4083-8453-c08802aee52d","lynx","canadensis",-59.229722,47.859444,0,52,1197,5,1
"3c54c60f-2d65-4d4b-86b3-cc2d7b89cfb6","lynx","canadensis",-113.683333,61.166667,160,-23,305,7,1
"3c760b60-7570-4ed5-bbac-4a9a84fec005","leopardus","pardalis",-99.3283333,18.6286111,902,249,797,14,4
"3c7f73b2-221a-4064-94aa-35911082005c","leopardus","pardalis",-65.8,3.53,616,225,3005,14,3
"3c8bbf7a-ae6a-4f13-8e79-26f023bffceb","leopardus","pardalis",-74.183333,4.25,3538,84,1532,10,5
"3c96c31b-05c8-475c-aa84-dad129b39961","puma","concolor",-115.044246,43.893791,1985,50,376,1,5
"3ca040aa-a98f-4b67-80b4-00f18eab1ca4","lynx","canadensis",-144.777222,63.796944,381,-11,361,1,1
"3cac69b9-8908-4f57-b480-015e06ec9994","puma","concolor",-120.2288889,34.4786111,35,167,376,4,1
"3cc167ad-0a8d-4687-b4d6-d2259d0df89c","puma","concolor",-109.39835,39.94295,1516,110,171,7,6
"3cdb558c-a637-4a57-ac21-bb52c0d61635","puma","concolor",-118.181146,48.838045,476,98,394,1,1
"3d12835d-ed30-4aea-a381-1c59d6b0589f","puma","concolor",-110.485391,34.044769,1512,148,359,8,6
"3d1ac047-6e6d-4343-bb30-9ac5714710ab","lynx","canadensis",-147.55,66.15,119,-30,267,5,1
"3d325d77-cd72-4d7a-b60a-d7472828bbc7","panthera","onca",-82.25,8.5,97,258,2220,8,2
"3d32afda-43b2-448f-bf37-28d671e4f49f","leopardus","pardalis",-78.176944,7.525,34,260,2751,12,3
"3d3f6188-1d35-4896-8bc6-9e644f9c0dda","lynx","canadensis",-147.59119,64.771,134,-9,313,7,1
"3d465163-ac89-4b3f-9a35-b44732a5faab","lynx","canadensis",-147.08,64.66,166,-8,329,1,1
"3d500693-3e19-47e0-add6-5b4b74e36225","felis","pardalis",-40.910375,-17.238083,245,244,864,8,2
"3d51c9a0-eb67-4acd-925a-93b13f2cab96","puma","concolor",-107.7406253,33.36397848,2089,120,336,8,6
"3dbb869b-a906-4913-b380-f0c9bce5685e","lynx","canadensis",-154.71,63.1,114,2,412,5,1
"3dca2a53-c70c-4855-85a9-1a832c6379ae","lynx","canadensis",-159.5175,62.808652,21,-7,418,6,1
"3dd931dd-9691-497f-a637-2fa62528245b","puma","concolor",-105.699431,33.968682,1952,124,391,10,6
"3ddabeaa-6bab-40f2-a862-e57f938223b5","lynx","canadensis",-148.53,65.51,439,-40,337,7,1
"3de351ae-54ac-4b14-a677-df3c764a2326","panthera","onca",-61.033333,-21.7,193,247,673,8,4
"3de4e561-3c7a-4de7-9db3-e93022515662","leopardus","pardalis",-66.61667,6.29167,329,253,2486,2,3
"3de7d297-0779-4001-b019-eda5d9f88f5c","felis","pardalis",-78.973811,0.71388,89,252,1696,8,2
"3df9166a-e899-451f-9a94-f59067a8ed0e","puma","concolor",-72.942891,-41.465742,21,119,1635,13,6
"3dfe53bb-058b-4c0a-9160-47a6c49bb1a0","lynx","canadensis",-147.472222,65.1125,265,-24,344,7,1
"3e385ce3-c86f-4533-a2fa-e60c6c26dc05","panthera","onca",-110.865633,31.340262,1161,188,376,10,4
"3e3b74fc-d9d2-49e5-a8ed-54b693496258","puma","concolor",-116.837393,47.240458,1072,73,797,1,1
"3e403936-0b19-49db-a986-c75bb38fcc0e","lynx","canadensis",-151.95,63.8833333333,197,-8,361,7,1
"3e4cdd18-93ef-45f5-b38c-c32c79e9d50b","lynx","canadensis",-108.88429,42.986346,1707,77,245,12,6
"3e503907-0dc8-4c20-8ee5-1323bfc1758a","puma","concolor",-112.070419,38.585776,2164,77,225,10,6
"3e5b776d-f211-400c-a3ff-30748d530ad7","puma","concolor",-105.688059,38.268789,2847,31,253,8,5
"3e5ce43c-0ac8-4dac-bb18-671f2aa600ac","puma","concolor",-108.7616855,31.4811085,1835,151,445,8,6
"3e5cff70-383d-4e30-a9bc-eb0b908f97c3","lynx","canadensis",-134.916667,61.583333,854,-8,347,1,1
"3e5ebd27-b08e-48b2-a337-26b150a095ae","felis","pardalis",-79.8333,0.25,129,242,1861,7,2
"3e60be0e-1330-43d4-ae2c-93b43c48cdef","felis","pardalis",-79.3833,0.4667,79,248,1842,2,2
"3e6eb45f-9e57-4da2-95e2-bb1f39237444","puma","concolor",-107.91313,40.037473,1906,80,274,10,6
"3e8bdbcd-7dd3-4969-8078-da02b26a77a8","puma","concolor",-105.538887,38.500766,2540,47,395,8,6
"3ea50404-5d8e-47aa-9d39-b300347b3590","lynx","canadensis",-109.944888,43.364113,2441,28,279,1,5
